recno,xpos,ypos,Vmag,e_Vmag,V-I,e_V-I,ID
410,541.47,57.592,23.92,0.089,1.233,0.217,20503.0
411,693.326,58.373,21.733,0.022,0.821,0.043,20504.0
412,12.76,59.159,21.92,0.046,0.802,0.059,20505.0
413,185.983,59.197,24.212,0.176,1.569,0.185,20507.0
414,531.037,59.372,23.387,0.157,1.099,0.184,20511.0
415,728.176,59.383,21.694,0.038,0.846,0.04,20514.0
416,728.115,64.201,23.743,0.034,1.299,0.057,20514.01
417,723.781,62.901,23.512,0.074,1.89,0.079,20514.02
418,722.156,69.26,20.231,0.012,0.689,0.019,20514.03
419,43.679,59.705,22.873,0.203,1.205,0.209,20515.0
420,39.751,63.107,21.101,0.076,0.778,0.085,20515.01
421,43.675,63.662,21.81,0.096,0.865,0.105,20515.02
422,69.641,59.561,18.132,0.032,1.037,0.046,20516.0
423,73.917,62.691,21.681,0.04,0.871,0.117,20516.01
424,77.442,67.17,23.82,0.205,1.396,0.221,20516.02
425,68.924,57.896,20.542,0.113,0.762,0.18,20516.03
426,70.725,58.64,20.099,0.109,0.299,0.223,20516.04
427,641.42,59.745,20.477,0.018,0.691,0.024,20522.0
428,636.716,60.757,21.461,0.04,0.776,0.055,20522.01
429,650.387,60.114,22.758,0.05,1.01,0.064,20523.0
430,293.426,60.722,21.675,0.027,0.829,0.031,20526.0
431,301.713,61.261,19.502,0.012,0.793,0.014,20527.0
432,303.965,63.188,20.365,0.014,0.673,0.027,20527.01
433,310.207,62.006,22.143,0.046,0.911,0.058,20527.02
434,314.502,58.976,20.813,0.039,0.866,0.064,20527.03
435,376.433,61.202,23.457,0.081,1.084,0.103,20528.0
436,370.991,61.778,22.231,0.073,0.951,0.077,20528.01
437,229.932,63.218,22.604,0.055,0.863,0.07,20534.01
438,556.229,62.115,24.225,0.091,1.515,0.129,20538.0
439,19.376,67.425,20.862,0.036,0.727,0.05,20540.01
440,97.683,63.032,21.395,0.023,0.778,0.028,20543.0
441,101.241,66.955,21.289,0.013,0.748,0.046,20543.01
442,105.185,63.016,24.496,0.296,1.033,0.328,20543.02
443,175.847,62.729,21.054,0.013,0.736,0.024,20545.0
444,481.073,63.642,20.388,0.046,0.679,0.09,20554.0
445,489.223,65.516,19.273,0.023,0.923,0.036,20554.01
