recno,xpos,ypos,Vmag,e_Vmag,V-I,e_V-I,B-V,e_B-V,ID
333,599.818,501.107,20.57,0.031,0.916,0.039,0.504,0.042,2340.0
334,467.202,501.849,20.654,0.026,0.97,0.059,0.515,0.035,2343.0
335,538.24,502.286,20.796,0.06,0.835,0.089,0.513,0.083,2347.0
336,491.453,502.291,16.89,0.004,0.184,0.01,0.094,0.006,2348.0
337,427.07,502.719,16.246,0.004,1.058,0.008,0.846,0.006,2354.0
338,481.169,502.838,20.467,0.035,0.839,0.056,0.497,0.047,2355.0
339,628.381,503.248,21.715,0.059,0.978,0.086,0.888,0.109,2356.0
340,512.746,503.717,17.619,0.006,1.005,0.013,0.777,0.008,2358.0
341,637.08,504.401,17.71,0.009,0.966,0.012,0.754,0.015,2361.0
342,417.088,505.504,18.824,0.03,0.895,0.047,0.641,0.045,2370.0
343,659.101,506.458,21.25,0.069,0.819,0.106,0.708,0.101,2372.0
344,731.812,506.165,20.196,0.015,0.77,0.023,0.5,0.022,2373.0
345,699.616,506.525,20.874,0.044,0.909,0.089,0.708,0.059,2376.0
346,723.229,507.69,21.654,0.089,0.8,0.153,0.57,0.12,2379.0
347,711.444,507.732,20.219,0.02,0.715,0.037,0.484,0.025,2383.0
348,528.887,507.799,19.502,0.021,0.808,0.03,0.557,0.03,2385.0
349,674.402,508.537,16.79,0.004,1.046,0.01,0.817,0.005,2389.0
350,545.705,509.435,19.634,0.02,0.702,0.03,0.36,0.027,2394.0
351,429.049,511.056,16.947,0.005,0.178,0.01,0.066,0.007,2396.0
352,742.397,511.673,19.507,0.014,0.801,0.024,0.608,0.018,2398.0
353,586.859,511.762,20.553,0.039,0.772,0.057,0.453,0.049,2400.0
