No,Xpos,Ypos,Vmag,V-I
582,126.52,795.41,19.318,3.065
583,231.79,797.57,20.95,2.871
584,573.69,798.27,20.401,2.935
585,444.73,798.7,20.292,2.864
586,964.03,802.19,22.336,3.208
587,737.46,807.67,20.345,2.919
588,380.6,812.27,19.873,3.134
589,80.02,814.13,21.248,2.38
590,536.64,814.43,20.042,2.947
591,247.88,815.44,20.932,3.119
592,196.58,817.79,20.232,2.909
593,470.43,820.14,20.275,2.953
594,84.52,820.77,20.711,3.193
595,484.3,820.97,22.48,2.896
596,72.92,822.47,21.589,2.936
597,829.99,823.31,20.276,3.183
598,178.67,823.32,20.289,2.977
599,673.81,826.66,22.948,2.956
600,318.59,827.81,20.745,2.939
601,17.17,828.04,21.23,2.459
602,397.02,830.69,19.809,3.06
603,698.06,834.16,22.234,2.482
604,936.58,836.96,20.642,3.05
605,188.67,837.28,20.163,2.871
606,55.18,839.39,20.392,2.956
607,648.29,841.26,22.882,2.926
608,736.0,842.45,19.237,3.166
609,773.36,843.59,19.257,3.175
610,434.06,844.34,21.602,2.534
611,905.73,844.36,20.306,3.195
612,118.12,844.54,22.037,2.459
613,473.28,846.0,19.761,2.891
614,128.12,847.2,20.199,2.992
615,369.24,847.25,18.107,3.363
616,180.27,850.71,20.52,3.03
617,246.84,852.38,18.906,2.058
618,720.99,853.15,19.928,3.127
619,897.15,855.07,21.007,2.393
620,10.09,856.64,21.425,3.012
621,272.4,858.38,15.662,1.161
622,719.27,863.34,18.846,2.149
623,178.2,863.81,20.679,3.106
624,684.25,864.48,22.803,3.12
625,449.91,864.84,19.421,4.739
626,356.83,866.13,19.308,3.138
627,549.51,868.79,20.966,3.23
628,731.65,870.09,21.578,3.065
629,567.88,871.28,19.347,3.002
630,90.11,871.53,20.479,3.097
631,404.05,873.27,22.288,3.174
632,423.3,873.92,21.981,2.739
633,381.99,874.39,20.738,3.152
634,125.28,874.93,20.567,3.006
635,905.22,875.34,23.127,3.188
636,148.37,879.92,22.539,2.692
637,785.08,880.32,15.325,1.366
638,814.61,886.91,20.585,2.18
639,745.31,887.36,21.063,3.141
640,421.86,888.39,19.769,2.772
641,24.05,889.01,20.269,3.017
642,518.43,889.22,22.184,2.536
643,46.9,889.41,20.277,2.912
644,752.01,890.45,22.196,3.243
645,326.46,890.88,22.053,2.842
646,163.81,894.73,19.566,2.144
647,739.98,896.38,20.608,3.123
648,508.28,899.71,20.438,2.454
649,105.34,900.12,21.675,3.09
650,671.27,903.28,21.596,2.597
651,805.3,904.39,21.389,3.037
652,387.24,904.97,20.626,2.217
653,49.77,906.23,22.218,2.843
654,576.68,906.61,20.644,3.046
655,487.56,907.1,19.018,2.107
656,310.82,907.32,20.372,3.239
657,174.24,907.94,19.891,2.999
658,649.53,907.96,20.591,3.019
659,843.21,908.83,22.719,3.289
660,701.17,910.39,21.56,3.137
661,854.16,911.34,19.671,3.629
662,433.0,911.9,18.613,3.041
663,510.53,912.4,18.108,3.284
664,580.23,912.8,21.883,2.838
665,446.17,914.44,19.984,2.809
666,864.33,916.69,21.481,3.432
667,811.54,918.29,21.724,3.039
668,209.77,921.16,22.004,2.734
669,99.16,921.48,18.311,2.947
670,913.03,922.54,20.731,3.043
671,197.58,923.16,21.014,3.036
672,840.2,923.68,21.756,3.325
673,171.0,924.04,19.379,2.001
674,898.57,926.32,20.013,3.486
675,361.36,927.93,18.02,3.207
676,433.96,929.18,20.561,3.161
677,568.49,930.53,21.603,2.833
678,378.67,930.89,19.919,3.213
679,485.98,933.68,19.989,2.833
680,659.99,934.59,20.455,3.05
681,335.5,935.29,20.819,3.028
682,216.68,938.79,20.588,2.996
683,977.61,939.3,21.448,3.397
684,367.11,939.66,18.705,1.566
685,609.17,940.65,19.972,2.407
686,735.34,943.26,19.427,2.211
687,196.27,944.16,22.04,2.892
688,969.34,944.8,19.178,2.141
689,332.24,944.81,20.469,4.955
690,654.65,945.28,20.962,3.216
691,913.98,946.22,23.091,2.779
692,935.11,946.66,22.527,2.734
693,360.28,948.17,21.421,3.275
694,227.18,948.21,20.567,3.052
695,29.4,948.27,21.421,2.715
696,379.49,950.23,19.899,2.105
697,462.44,951.98,20.3,3.027
698,876.09,952.29,21.469,2.567
699,698.43,956.86,19.765,2.988
700,29.44,957.66,21.034,2.539
701,909.51,958.47,21.829,2.673
702,349.48,959.46,22.235,2.663
703,593.81,962.1,17.76,3.437
704,720.26,964.64,16.262,1.455
705,129.81,965.17,20.563,2.978
706,7.9,967.29,18.852,3.123
707,258.05,970.59,21.186,2.903
708,968.44,971.3,22.796,2.902
709,84.23,971.68,19.637,2.851
710,654.57,974.22,21.624,2.867
711,766.2,976.72,20.996,2.619
712,597.53,979.49,19.461,3.062
713,1004.75,979.66,21.422,3.381
714,1017.47,981.54,21.074,2.739
715,894.67,982.88,21.716,2.441
716,457.83,983.03,19.53,3.041
717,140.54,985.55,20.093,2.858
718,787.97,987.26,20.539,3.069
719,417.81,988.0,19.402,1.847
720,740.95,988.93,19.628,3.543
721,550.52,991.42,18.83,3.298
